Relation	Infected	Maternal_Separation	Gender			
12	Infected	Maternal_Separation	Female			
8	Infected	Maternal_Separation	Female			
8	Infected	Maternal_Separation	Female			
14	Infected	Maternal_Separation	Female			
7	Infected	Maternal_Separation	Female			
16	Infected	Maternal_Separation	Female			
12	Infected	Maternal_Separation	Female			
20	Infected	Maternal_Separation	Female			
7	Infected	Maternal_Separation	Female			
6	Infected	Maternal_Separation	Female			
10	Infected	Maternal_Separation	Female			
7	Infected	Maternal_Separation	Female			
14	Infected	Maternal_Separation	Female			
5	Infected	Maternal_Separation	Female			
8	Infected	Maternal_Separation	Female			
10	Infected	Maternal_Separation	Female			
16	Infected	Maternal_Separation	Female			
22	Infected	Maternal_Separation	Female			
11	Infected	Maternal_Separation	Female			
9	Infected	Maternal_Separation	Female			
12	Infected	Maternal_Separation	Female			
10	Infected	Maternal_Separation	Female			
11	Infected	Maternal_Separation	Female			
10	Infected	Maternal_Separation	Female			
11	Infected	Maternal_Separation	Female			
7	Infected	Maternal_Separation	Male			
13	Infected	Maternal_Separation	Male			
12	Infected	Maternal_Separation	Male			
14	Infected	Maternal_Separation	Male			
7	Infected	Maternal_Separation	Male			
6	Infected	Maternal_Separation	Male			
6	Infected	Maternal_Separation	Male			
16	Infected	Maternal_Separation	Male			
13	Infected	Maternal_Separation	Male			
5	Infected	Maternal_Separation	Male			
8	Infected	Maternal_Separation	Male			
7	Infected	Maternal_Separation	Male			
9	Infected	Maternal_Separation	Male			
11	Infected	Maternal_Separation	Male			
9	Infected	Maternal_Separation	Male			
8	Infected	Maternal_Separation	Male			
14	Infected	Maternal_Separation	Male			
8	Infected	Maternal_Separation	Male			
9	Infected	Maternal_Separation	Male			
11	Infected	Maternal_Separation	Male			
14	Infected	Maternal_Separation	Male			
5	Infected	Maternal_Separation	Male			
11	Infected	Maternal_Separation	Male			
7	Infected	Maternal_Separation	Male			
9	Infected	Maternal_Separation	Male			
3	Non_Infected	Maternal_Separation	Female			
4	Non_Infected	Maternal_Separation	Female			
6	Non_Infected	Maternal_Separation	Female			
7	Non_Infected	Maternal_Separation	Female			
6	Non_Infected	Maternal_Separation	Female			
4	Non_Infected	Maternal_Separation	Female			
1	Non_Infected	Maternal_Separation	Female			
5	Non_Infected	Maternal_Separation	Female			
1	Non_Infected	Maternal_Separation	Female			
5	Non_Infected	Maternal_Separation	Female			
5	Non_Infected	Maternal_Separation	Female			
4	Non_Infected	Maternal_Separation	Female			
3	Non_Infected	Maternal_Separation	Female			
4	Non_Infected	Maternal_Separation	Female			
8	Non_Infected	Maternal_Separation	Female			
7	Non_Infected	Maternal_Separation	Female			
5	Non_Infected	Maternal_Separation	Female			
7	Non_Infected	Maternal_Separation	Female			
8	Non_Infected	Maternal_Separation	Female			
4	Non_Infected	Maternal_Separation	Female			
1	Non_Infected	Maternal_Separation	Female			
1	Non_Infected	Maternal_Separation	Female			
5	Non_Infected	Maternal_Separation	Female			
10	Non_Infected	Maternal_Separation	Female			
7	Non_Infected	Maternal_Separation	Female			
2	Non_Infected	Maternal_Separation	Male			
3	Non_Infected	Maternal_Separation	Male			
3	Non_Infected	Maternal_Separation	Male			
5	Non_Infected	Maternal_Separation	Male			
3	Non_Infected	Maternal_Separation	Male			
2	Non_Infected	Maternal_Separation	Male			
3	Non_Infected	Maternal_Separation	Male			
3	Non_Infected	Maternal_Separation	Male			
4	Non_Infected	Maternal_Separation	Male			
4	Non_Infected	Maternal_Separation	Male			
2	Non_Infected	Maternal_Separation	Male			
3	Non_Infected	Maternal_Separation	Male			
5	Non_Infected	Maternal_Separation	Male			
1	Non_Infected	Maternal_Separation	Male			
5	Non_Infected	Maternal_Separation	Male			
2	Non_Infected	Maternal_Separation	Male			
6	Non_Infected	Maternal_Separation	Male			
3	Non_Infected	Maternal_Separation	Male			
2	Non_Infected	Maternal_Separation	Male			
1	Non_Infected	Maternal_Separation	Male			
2	Non_Infected	Maternal_Separation	Male			
1	Non_Infected	Maternal_Separation	Male			
1	Non_Infected	Maternal_Separation	Male			
2	Non_Infected	Maternal_Separation	Male			
0	Non_Infected	Maternal_Separation	Male			
4	Infected	No_Maternal_Separation	Female			
4	Infected	No_Maternal_Separation	Female			
