Days 	Number_of_Cysts	Infected 	Maternal_Separation	Gender 
5	7	Infected	Maternal_Separation	Female
5	5	Infected	Maternal_Separation	Female
5	2	Infected	Maternal_Separation	Female
5	2	Infected	Maternal_Separation	Female
5	6	Infected	Maternal_Separation	Female
5	12	Infected	Maternal_Separation	Male
5	9	Infected	Maternal_Separation	Male
5	7	Infected	Maternal_Separation	Male
5	13	Infected	Maternal_Separation	Male
5	7	Infected	Maternal_Separation	Male
10	29	Infected	Maternal_Separation	Female
10	20	Infected	Maternal_Separation	Female
10	17	Infected	Maternal_Separation	Female
10	18	Infected	Maternal_Separation	Female
10	30	Infected	Maternal_Separation	Female
10	15	Infected	Maternal_Separation	Male
10	14	Infected	Maternal_Separation	Male
10	11	Infected	Maternal_Separation	Male
10	18	Infected	Maternal_Separation	Male
10	15	Infected	Maternal_Separation	Male
15	19	Infected	Maternal_Separation	Female
15	18	Infected	Maternal_Separation	Female
15	13	Infected	Maternal_Separation	Female
15	20	Infected	Maternal_Separation	Female
15	13	Infected	Maternal_Separation	Female
15	22	Infected	Maternal_Separation	Male
15	32	Infected	Maternal_Separation	Male
15	19	Infected	Maternal_Separation	Male
15	16	Infected	Maternal_Separation	Male
15	21	Infected	Maternal_Separation	Male
20	13	Infected	Maternal_Separation	Female
20	16	Infected	Maternal_Separation	Female
20	17	Infected	Maternal_Separation	Female
20	16	Infected	Maternal_Separation	Female
20	16	Infected	Maternal_Separation	Female
20	16	Infected	Maternal_Separation	Male
20	14	Infected	Maternal_Separation	Male
20	11	Infected	Maternal_Separation	Male
20	16	Infected	Maternal_Separation	Male
20	14	Infected	Maternal_Separation	Male
5	0	Non_Infected	Maternal_Separation	Female
5	0	Non_Infected	Maternal_Separation	Female
5	0	Non_Infected	Maternal_Separation	Female
5	0	Non_Infected	Maternal_Separation	Female
5	0	Non_Infected	Maternal_Separation	Female
5	0	Non_Infected	Maternal_Separation	Male
5	0	Non_Infected	Maternal_Separation	Male
5	0	Non_Infected	Maternal_Separation	Male
5	0	Non_Infected	Maternal_Separation	Male
5	0	Non_Infected	Maternal_Separation	Male
10	0	Non_Infected	Maternal_Separation	Female
10	0	Non_Infected	Maternal_Separation	Female
10	0	Non_Infected	Maternal_Separation	Female
10	0	Non_Infected	Maternal_Separation	Female
10	0	Non_Infected	Maternal_Separation	Female
10	0	Non_Infected	Maternal_Separation	Male
10	0	Non_Infected	Maternal_Separation	Male
10	0	Non_Infected	Maternal_Separation	Male
10	0	Non_Infected	Maternal_Separation	Male
10	0	Non_Infected	Maternal_Separation	Male
15	0	Non_Infected	Maternal_Separation	Female
15	0	Non_Infected	Maternal_Separation	Female
15	0	Non_Infected	Maternal_Separation	Female
15	0	Non_Infected	Maternal_Separation	Female
15	0	Non_Infected	Maternal_Separation	Female
15	0	Non_Infected	Maternal_Separation	Male
15	0	Non_Infected	Maternal_Separation	Male
15	0	Non_Infected	Maternal_Separation	Male
15	0	Non_Infected	Maternal_Separation	Male
15	0	Non_Infected	Maternal_Separation	Male
20	0	Non_Infected	Maternal_Separation	Female
20	0	Non_Infected	Maternal_Separation	Female
20	0	Non_Infected	Maternal_Separation	Female
20	0	Non_Infected	Maternal_Separation	Female
20	0	Non_Infected	Maternal_Separation	Female
20	0	Non_Infected	Maternal_Separation	Male
20	0	Non_Infected	Maternal_Separation	Male
20	0	Non_Infected	Maternal_Separation	Male
20	0	Non_Infected	Maternal_Separation	Male
20	0	Non_Infected	Maternal_Separation	Male
5	4	Infected	No_Maternal_Separation	Female
5	5	Infected	No_Maternal_Separation	Female
5	5	Infected	No_Maternal_Separation	Female
5	8	Infected	No_Maternal_Separation	Female
5	3	Infected	No_Maternal_Separation	Female
5	7	Infected	No_Maternal_Separation	Male
5	8	Infected	No_Maternal_Separation	Male
5	6	Infected	No_Maternal_Separation	Male
5	8	Infected	No_Maternal_Separation	Male
5	5	Infected	No_Maternal_Separation	Male
10	12	Infected	No_Maternal_Separation	Female
10	16	Infected	No_Maternal_Separation	Female
10	9	Infected	No_Maternal_Separation	Female
10	8	Infected	No_Maternal_Separation	Female
10	8	Infected	No_Maternal_Separation	Female
10	13	Infected	No_Maternal_Separation	Male
10	11	Infected	No_Maternal_Separation	Male
10	12	Infected	No_Maternal_Separation	Male
10	7	Infected	No_Maternal_Separation	Male
10	8	Infected	No_Maternal_Separation	Male
15	17	Infected	No_Maternal_Separation	Female
15	11	Infected	No_Maternal_Separation	Female
15	11	Infected	No_Maternal_Separation	Female
15	18	Infected	No_Maternal_Separation	Female
15	12	Infected	No_Maternal_Separation	Female
15	9	Infected	No_Maternal_Separation	Male
15	5	Infected	No_Maternal_Separation	Male
15	9	Infected	No_Maternal_Separation	Male
15	11	Infected	No_Maternal_Separation	Male
15	4	Infected	No_Maternal_Separation	Male
20	15	Infected	No_Maternal_Separation	Female
20	10	Infected	No_Maternal_Separation	Female
20	10	Infected	No_Maternal_Separation	Female
20	7	Infected	No_Maternal_Separation	Female
20	8	Infected	No_Maternal_Separation	Female
20	6	Infected	No_Maternal_Separation	Male
20	5	Infected	No_Maternal_Separation	Male
20	4	Infected	No_Maternal_Separation	Male
20	6	Infected	No_Maternal_Separation	Male
20	6	Infected	No_Maternal_Separation	Male
5	0	Non_Infected	No_Maternal_Separation	Female
5	0	Non_Infected	No_Maternal_Separation	Female
5	0	Non_Infected	No_Maternal_Separation	Female
5	0	Non_Infected	No_Maternal_Separation	Female
5	0	Non_Infected	No_Maternal_Separation	Female
5	0	Non_Infected	No_Maternal_Separation	Male
5	0	Non_Infected	No_Maternal_Separation	Male
5	0	Non_Infected	No_Maternal_Separation	Male
5	0	Non_Infected	No_Maternal_Separation	Male
5	0	Non_Infected	No_Maternal_Separation	Male
10	0	Non_Infected	No_Maternal_Separation	Female
10	0	Non_Infected	No_Maternal_Separation	Female
10	0	Non_Infected	No_Maternal_Separation	Female
10	0	Non_Infected	No_Maternal_Separation	Female
10	0	Non_Infected	No_Maternal_Separation	Female
10	0	Non_Infected	No_Maternal_Separation	Male
10	0	Non_Infected	No_Maternal_Separation	Male
10	0	Non_Infected	No_Maternal_Separation	Male
10	0	Non_Infected	No_Maternal_Separation	Male
10	0	Non_Infected	No_Maternal_Separation	Male
15	0	Non_Infected	No_Maternal_Separation	Female
15	0	Non_Infected	No_Maternal_Separation	Female
15	0	Non_Infected	No_Maternal_Separation	Female
15	0	Non_Infected	No_Maternal_Separation	Female
15	0	Non_Infected	No_Maternal_Separation	Female
15	0	Non_Infected	No_Maternal_Separation	Male
15	0	Non_Infected	No_Maternal_Separation	Male
15	0	Non_Infected	No_Maternal_Separation	Male
15	0	Non_Infected	No_Maternal_Separation	Male
15	0	Non_Infected	No_Maternal_Separation	Male
20	0	Non_Infected	No_Maternal_Separation	Female
20	0	Non_Infected	No_Maternal_Separation	Female
20	0	Non_Infected	No_Maternal_Separation	Female
20	0	Non_Infected	No_Maternal_Separation	Female
20	0	Non_Infected	No_Maternal_Separation	Female
20	0	Non_Infected	No_Maternal_Separation	Male
20	0	Non_Infected	No_Maternal_Separation	Male
20	0	Non_Infected	No_Maternal_Separation	Male
20	0	Non_Infected	No_Maternal_Separation	Male
20	0	Non_Infected	No_Maternal_Separation	Male
