Relation;Infected;Maternal_Separation;Gender
4;Infected;Maternal_Separation;Female
5;Infected;Maternal_Separation;Female
4;Infected;Maternal_Separation;Female
4;Infected;Maternal_Separation;Female
4;Infected;Maternal_Separation;Female
5;Infected;Maternal_Separation;Female
5;Infected;Maternal_Separation;Female
5;Infected;Maternal_Separation;Female
4;Infected;Maternal_Separation;Female
5;Infected;Maternal_Separation;Female
6;Infected;Maternal_Separation;Female
6;Infected;Maternal_Separation;Female
5;Infected;Maternal_Separation;Female
8;Infected;Maternal_Separation;Female
6;Infected;Maternal_Separation;Female
3;Infected;Maternal_Separation;Female
4;Infected;Maternal_Separation;Female
5;Infected;Maternal_Separation;Female
4;Infected;Maternal_Separation;Female
6;Infected;Maternal_Separation;Female
6;Infected;Maternal_Separation;Male
7;Infected;Maternal_Separation;Male
6;Infected;Maternal_Separation;Male
7;Infected;Maternal_Separation;Male
5;Infected;Maternal_Separation;Male
7;Infected;Maternal_Separation;Male
6;Infected;Maternal_Separation;Male
7;Infected;Maternal_Separation;Male
8;Infected;Maternal_Separation;Male
5;Infected;Maternal_Separation;Male
5;Infected;Maternal_Separation;Male
5;Infected;Maternal_Separation;Male
6;Infected;Maternal_Separation;Male
5;Infected;Maternal_Separation;Male
6;Infected;Maternal_Separation;Male
5;Infected;Maternal_Separation;Male
4;Infected;Maternal_Separation;Male
5;Infected;Maternal_Separation;Male
4;Infected;Maternal_Separation;Male
5;Infected;Maternal_Separation;Male
4;Infected;Maternal_Separation;Male
4;Infected;Maternal_Separation;Male
4;Infected;Maternal_Separation;Male
5;Infected;Maternal_Separation;Male
4;Infected;Maternal_Separation;Male
6;Non_Infected;Maternal_Separation;Female
5;Non_Infected;Maternal_Separation;Female
5;Non_Infected;Maternal_Separation;Female
5;Non_Infected;Maternal_Separation;Female
6;Non_Infected;Maternal_Separation;Female
4;Non_Infected;Maternal_Separation;Female
5;Non_Infected;Maternal_Separation;Female
4;Non_Infected;Maternal_Separation;Female
4;Non_Infected;Maternal_Separation;Female
5;Non_Infected;Maternal_Separation;Female
4;Non_Infected;Maternal_Separation;Female
5;Non_Infected;Maternal_Separation;Female
5;Non_Infected;Maternal_Separation;Female
4;Non_Infected;Maternal_Separation;Female
5;Non_Infected;Maternal_Separation;Female
5;Non_Infected;Maternal_Separation;Female
4;Non_Infected;Maternal_Separation;Female
